"filename", "language", "Markdown", "JSON", "CSS", "HTML", "JavaScript", "comment", "blank", "total"
"/home/mcw/Desktop/northcoders/mcwake-dev/frontend/nc-news/src/components/TopicSelect/index.js", "JavaScript", 0, 0, 0, 0, 30, 0, 6, 36
"/home/mcw/Desktop/northcoders/mcwake-dev/frontend/nc-news/src/components/UserCard/UserCard.module.css", "CSS", 0, 0, 52, 0, 0, 0, 8, 60
"/home/mcw/Desktop/northcoders/mcwake-dev/frontend/nc-news/src/components/UserCard/index.js", "JavaScript", 0, 0, 0, 0, 44, 0, 4, 48
"/home/mcw/Desktop/northcoders/mcwake-dev/frontend/nc-news/src/components/UserList/UserList.module.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"/home/mcw/Desktop/northcoders/mcwake-dev/frontend/nc-news/src/components/UserList/index.js", "JavaScript", 0, 0, 0, 0, 30, 0, 4, 34
"/home/mcw/Desktop/northcoders/mcwake-dev/frontend/nc-news/src/components/VoteControls/VoteControls.module.css", "CSS", 0, 0, 24, 0, 0, 0, 5, 29
"/home/mcw/Desktop/northcoders/mcwake-dev/frontend/nc-news/src/components/VoteControls/index.js", "JavaScript", 0, 0, 0, 0, 43, 0, 9, 52
"/home/mcw/Desktop/northcoders/mcwake-dev/frontend/nc-news/src/index.css", "CSS", 0, 0, 8, 0, 0, 0, 1, 9
"/home/mcw/Desktop/northcoders/mcwake-dev/frontend/nc-news/src/index.js", "JavaScript", 0, 0, 0, 0, 13, 0, 3, 16
"/home/mcw/Desktop/northcoders/mcwake-dev/frontend/nc-news/src/setupTests.js", "JavaScript", 0, 0, 0, 0, 1, 4, 1, 6
"Total", "-", 38, 29397, 380, 348, 936, 29, 258, 31386
